[Mon May 27 2019 14:30:26 GMT+0900 (JST)] Uncaught TypeError: Cannot read property 'refreshInterval' of undefined| Script: file:///home/pi/smart-mirror/plugins/face_detection/controller.js Line: 522
[Mon May 27 2019 14:32:06 GMT+0900 (JST)] Uncaught TypeError: Cannot read property 'id' of undefined| Script: file:///home/pi/smart-mirror/plugins/face_detection/controller.js Line: 161
[Tue May 28 2019 02:04:09 GMT+0900 (JST)] Uncaught TypeError: Cannot read property 'id' of undefined| Script: file:///home/pi/smart-mirror/plugins/face_detection/controller.js Line: 161
[Tue May 28 2019 02:07:05 GMT+0900 (JST)] Uncaught TypeError: Cannot read property 'id' of undefined| Script: file:///home/pi/smart-mirror/plugins/face_detection/controller.js Line: 161
[Tue May 28 2019 17:06:30 GMT+0900 (JST)] Uncaught SyntaxError: Unexpected identifier| Script: file:///home/pi/smart-mirror/plugins/face_detection/controller.js Line: 170
[Tue May 28 2019 20:49:26 GMT+0900 (JST)] Uncaught SyntaxError: Unexpected token )| Script: file:///home/pi/smart-mirror/plugins/calendar/service.js Line: 255
[Tue May 28 2019 20:55:09 GMT+0900 (JST)] Uncaught TypeError: Cannot read property 'refreshInterval' of undefined| Script: file:///home/pi/smart-mirror/plugins/face_detection/controller.js Line: 530
[Tue May 28 2019 21:04:35 GMT+0900 (JST)] Uncaught TypeError: Cannot read property 'refreshInterval' of undefined| Script: file:///home/pi/smart-mirror/plugins/face_detection/controller.js Line: 530
[Tue May 28 2019 21:16:28 GMT+0900 (JST)] Uncaught SyntaxError: missing ) after argument list| Script: file:///home/pi/smart-mirror/plugins/face_detection/controller.js Line: 674
[Tue May 28 2019 21:18:56 GMT+0900 (JST)] Uncaught SyntaxError: missing ) after argument list| Script: file:///home/pi/smart-mirror/plugins/face_detection/controller.js Line: 674
[Tue May 28 2019 23:59:08 GMT+0900 (JST)] Uncaught TypeError: CalendarService.test is not a function| Script: file:///home/pi/smart-mirror/plugins/face_detection/controller.js Line: 241
[Wed May 29 2019 03:57:02 GMT+0900 (JST)] Uncaught SyntaxError: Invalid or unexpected token| Script: file:///home/pi/smart-mirror/plugins/face_detection/controller.js Line: 239
[Wed May 29 2019 03:59:11 GMT+0900 (JST)] Uncaught SyntaxError: Invalid or unexpected token| Script: file:///home/pi/smart-mirror/plugins/face_detection/controller.js Line: 242
[Wed May 29 2019 05:09:38 GMT+0900 (JST)] Uncaught TypeError: hue.light is not a function| Script: file:///home/pi/smart-mirror/plugins/Hue/controller.js Line: 34
